ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,ma5,ma10,ma20,ma60,return,amplitude,turnover,turnover_rate,volume_ratio,price_change_5d,price_change_10d,ma_arrangement,box_size,is_yang,is_yin,yang_count_7d,yin_count_7d,adx,boll_width,gap_up,gap_down,high_drawdown,high_drawdown_flag,volatility_5d,atr,range,range_change,limit_up,limit_down,limit_up_count_7d,one_word_limit,t_limit,limit_up_open,failed_limit_up,trend_pullback,pullback_ratio,one_word_count_7d,yesterday_is_yang,yesterday_box_size,yesterday_high_drawdown,yesterday_one_word_limit,yesterday_t_limit,yesterday_failed_limit,yesterday_volume_ratio,yesterday_volume_up,yesterday_volume_down,ma5_slope,yesterday_trend_reversal,trend_slope_20d,is_trend_pullback,pullback_from_high,pullback_from_low,long_consolidation,breakout_high,consolidation_breakout,bottom_limit_up,bottom_limit_up_volume
600519.SH,20231019,1700.0,1700.03,1626.03,1630.0,1728.0,-98.0,-5.6713,73492.37,12146921.769,1712.98,1747.4950000000001,1783.277,1818.8056666666666,-0.05671296296296291,4.282407407407407,3.11109148766691,3.111091487798609,2.3772763004679414,-0.08734602463605823,-0.10143329658213895,-1,0.04282407407407408,0,1,1.0,6.0,28.5661650682129,0.11226889697528541,0,1,4.1193390704869906,1,0.3681690928508927,34.299402858268046,0.04282407407407408,1.9780157877458522,0,0,0.0,0,0,0,0,0,-0.007559924809396517,0.0,1.0,0.014380069524913056,0.0,0.0,0.0,0.0,1.0588060930115097,0,0,-31.199999999999818,0,-6.890842105263161,0,,0.0,1,0,0,0,0
600519.SH,20231020,1630.0,1655.0,1616.25,1645.0,1630.0,15.0,0.9202,45376.01,7421390.806,1691.78,1732.14,1774.5925,1817.489,0.009202453987730008,2.377300613496933,1.8138601211466157,1.813860121219123,1.2970447304253652,-0.060536836093660784,-0.08537432932084177,-1,0.023773006134969327,1,0,2.0,5.0,31.21713807399607,0.12993644153819306,0,0,0.6042296072507553,0,0.4137158028805446,34.61730265410604,0.023773006134969327,-0.4448681810645001,0,0,0.0,0,0,0,0,0,-0.021740415420444723,0.0,0.0,0.04282407407407408,1.0,0.0,0.0,0.0,2.3772763004679414,0,1,-21.200000000000045,0,-8.307075187969929,-1,,0.009202453987730062,1,0,0,0,0
600519.SH,20231023,1629.97,1660.0,1621.6,1643.98,1645.0,-1.02,-0.062,25234.23,4138279.588,1674.596,1718.8380000000002,1767.6920000000002,1815.3669999999997,-0.0006200607902735467,2.334346504559276,1.015200266642925,1.0152002666837676,0.7034310530674432,-0.04966761084455751,-0.07485649971862685,-1,0.02334346504559276,1,0,3.0,4.0,33.41997346521939,0.14534564447604503,0,0,0.9650602409638543,0,0.42173713162513116,34.8874953216699,0.02334346504559276,-0.01806843808216274,0,0,0.0,0,0,0,0,0,-0.008716132129779364,0.0,1.0,0.023773006134969327,0.0,0.0,0.0,0.0,1.2970447304253652,0,0,-17.18399999999997,0,-10.056165413533838,-1,,0.008576687116564428,1,0,0,0,0
600519.SH,20231024,1648.0,1653.36,1621.21,1642.95,1643.98,-1.03,-0.0627,29861.46,4894807.617,1657.986,1706.1330000000003,1758.3794999999998,1813.2303333333334,-0.0006265283032640401,1.9556198980522794,1.207912955834579,1.2079129558834398,0.7685098488755264,-0.048117033603708004,-0.0717796610169491,-1,0.019556198980522795,0,1,3.0,4.0,35.470432609439385,0.15475210284687888,0,0,0.6296269415009348,0,0.42373671211419245,34.691959941550614,0.019556198980522795,-0.16224095513125203,0,0,0.0,0,0,0,0,0,-0.002790132124155574,0.0,1.0,0.02334346504559276,0.0,0.0,0.0,0.0,0.7034310530674432,0,0,-16.6099999999999,0,-10.867015037593989,-1,,0.007944785276073648,1,0,0,0,0
600519.SH,20231025,1670.11,1698.0,1667.02,1677.5,1642.95,34.55,2.1029,36178.98,6075417.064,1647.886,1696.0330000000001,1750.9075,1810.7128333333335,0.02102924617304236,1.8856325512036285,1.4033191177752165,1.403319117829649,0.8608179047558319,-0.02922453703703709,-0.05678942929434916,-1,0.018856325512036285,1,0,4.0,3.0,35.2396513131712,0.15601944001003654,1,0,1.2073027090694937,0,0.47559220052721907,36.14610566001128,0.018856325512036285,-0.03578780667877002,0,0,0.0,0,0,0,0,1,0.030411084261896777,0.0,0.0,0.019556198980522795,0.0,0.0,0.0,0.0,0.7685098488755264,0,0,-10.100000000000136,0,-10.9399022556391,-1,,0.029141104294478526,1,0,0,0,0
600519.SH,20231026,1667.0,1688.0,1662.01,1672.23,1677.5,-5.27,-0.3142,22386.35,3741418.874,1656.3319999999999,1684.6560000000002,1743.3190000000002,1808.1074999999998,-0.003141579731743671,1.5493293591654254,0.8519942665841379,0.8519942666165637,0.7038093581098691,0.0259079754601228,-0.06370100783874577,-1,0.015493293591654253,1,0,5.0,2.0,35.13084261571658,0.15644297174951916,0,0,0.9342417061611364,0,0.1595335258804959,35.42066954143905,0.015493293591654253,-0.17835033226570873,0,0,0.0,0,0,0,0,1,0.019119355298333984,0.0,1.0,0.018856325512036285,0.0,0.0,0.0,0.0,0.8608179047558319,0,0,8.445999999999913,0,-10.90977443609023,-1,,0.02590797546012271,1,0,0,0,0
600519.SH,20231027,1664.0,1691.88,1660.6,1676.71,1672.23,4.48,0.2679,34262.39,5754795.486,1662.6739999999998,1677.227,1737.235,1805.4188333333334,0.002679057306710142,1.8705560837923134,1.2683246664196088,1.2683246664665597,1.1581124988938531,0.01927659574468077,-0.04242718446601945,-1,0.018705560837923133,1,0,5.0,2.0,34.8592892500786,0.15755013415147917,0,0,0.8966356952029738,0,0.15582096192863507,35.12490743133627,0.018705560837923133,0.2073327551218178,0,0,0.0,0,0,0,0,1,0.0175656803438319,0.0,1.0,0.015493293591654253,0.0,0.0,0.0,0.0,0.7038093581098691,0,0,6.341999999999871,1,-10.99178947368421,-1,,0.02865644171779143,1,0,0,0,0
600519.SH,20231030,1669.0,1688.88,1669.0,1681.0,1676.71,4.29,0.2559,24086.42,4050573.178,1670.078,1672.3370000000002,1728.8349999999998,1801.8188333333335,0.002558581984958508,1.1856552415146393,0.9089663231544238,0.9089663231887262,0.8205185330531777,0.022518522123140094,-0.028267529915024014,-1,0.011856552415146392,1,0,6.0,1.0,34.60713255341475,0.14896009812274022,0,0,0.46658140306002255,0,0.1516360271706922,34.035985471955115,0.011856552415146392,-0.3661482530313259,0,0,0.0,0,0,0,0,1,0.011258156804652319,0.0,1.0,0.018705560837923133,0.0,0.0,0.0,0.0,1.1581124988938531,0,0,7.404000000000224,0,-10.030436090225566,-1,,0.03128834355828221,1,0,0,0,0
600519.SH,20231031,1680.0,1690.0,1667.85,1684.58,1681.0,3.58,0.213,19858.77,3335804.699,1678.404,1668.1950000000002,1721.4450000000002,1798.5521666666666,0.002129684711481117,1.3176680547293331,0.7412014525857561,0.7412014526134204,0.7259759991945773,0.025338567820079705,-0.02399768250289691,0,0.013176680547293332,1,0,6.0,1.0,34.40290512865469,0.14042602058904416,0,0,0.32071005917160195,0,0.14695607689743223,33.186986509672614,0.013176680547293332,0.11134165193420942,0,0,0.0,0,0,0,0,0,0.006908944449608082,0.0,1.0,0.011856552415146392,0.0,0.0,0.0,0.0,0.8205185330531777,0,0,8.326000000000022,0,-9.027729323308272,-1,,0.03348466257668707,1,0,0,0,0
600519.SH,20231101,1850.0,1850.0,1773.79,1780.99,1684.58,96.41,5.7231,93143.08,16747292.689,1699.102,1673.4940000000001,1719.6945,1796.752,0.05723088247515706,4.523976302698598,3.037763212979744,3.0377632130788177,2.40385355384601,0.061692995529061045,0.03066550925925937,0,0.04523976302698598,0,1,5.0,2.0,34.171437400288774,0.13521696849764395,1,0,3.7302702702702693,1,0.40066384280942197,42.632201758981715,0.04523976302698598,2.4333201647116534,0,0,0.0,0,0,1,1,0,0.08881044222183242,0.0,1.0,0.013176680547293332,0.0,0.0,0.0,0.0,0.7259759991945773,0,0,20.698000000000093,0,-6.684112781954889,0,,0.0926319018404908,1,0,0,0,0
