strategy_name,stock_code,stock_name,trade_date,buy_price,sell_price,sell_date,return_rate,profit,is_profitable,sell_tick_steps
首红断低吸1,601086.SH,未知,2025-05-09,11.18,10.96,2025-05-12,-0.01967799642218237,-70157.99999999953,False,976
首红断低吸1,002819.SZ,未知,2025-05-12,31.28,32.6,2025-05-14,0.0421994884910486,147444.0,True,-1
首红断低吸1,002689.SZ,未知,2025-05-13,4.2,3.92,2025-05-15,-0.06666666666666672,-242844.0,False,-1
首红断低吸1,000767.SZ,未知,2025-05-15,3.32,3.31,2025-05-16,-0.0030120481927710203,-10240.0,False,832
首红断低吸1,002489.SZ,未知,2025-05-19,4.1,3.93,2025-05-21,-0.04146341463414622,-140538.99999999953,False,-1
首红断低吸1,603990.SH,未知,2025-05-20,16.56,15.41,2025-05-22,-0.06944444444444436,-225629.99999999953,False,-1
首红断低吸1,600343.SH,未知,2025-05-21,13.1,11.9,2025-05-23,-0.09160305343511445,-276840.0,False,-1
首红断低吸1,601956.SH,未知,2025-05-26,7.15,7.51,2025-05-28,0.05034965034965027,138276.0,True,832
首红断低吸1,000859.SZ,未知,2025-05-27,8.01,7.8,2025-05-29,-0.02621722846441947,-75621.0,False,-1
首红断低吸1,002862.SZ,未知,2025-05-28,20.4,20.12,2025-05-29,-0.013725490196078313,-38556.0,False,240
首红断低吸1,003042.SZ,未知,2025-05-29,17.1,17.5,2025-05-30,0.02339181286549699,64800.0,True,-1
首红断低吸1,000695.SZ,未知,2025-05-30,13.99,15.9,2025-06-03,0.13652609006433167,386966.0,True,960
首红断低吸1,002431.SZ,未知,2025-06-04,3.06,2.83,2025-06-06,-0.07516339869281045,-242213.0,False,-1
首红断低吸1,000695.SZ,未知,2025-06-05,15.18,17.45,2025-06-06,0.14953886693017127,445601.0,True,1184
首红断低吸1,603823.SH,未知,2025-06-06,11.78,13.06,2025-06-10,0.10865874363327684,372224.0,True,-1
首红断低吸1,000665.SZ,未知,2025-06-09,5.68,5.67,2025-06-10,-0.0017605633802816527,-6686.0,False,848
首红断低吸1,603017.SH,未知,2025-06-10,11.8,10.0,2025-06-12,-0.15254237288135597,-578340.0,False,0
首红断低吸1,002846.SZ,未知,2025-06-11,13.56,12.55,2025-06-13,-0.07448377581120942,-239269.0,False,-1
首红断低吸1,600798.SH,未知,2025-06-12,4.15,4.25,2025-06-16,0.024096385542168586,71649.99999999953,True,-1
首红断低吸1,002734.SZ,未知,2025-06-13,22.27,22.93,2025-06-17,0.02963628199371352,90222.0,True,912
首红断低吸1,002366.SZ,未知,2025-06-16,7.56,8.46,2025-06-17,0.11904761904761922,373230.00000000047,True,1668
首红断低吸1,603619.SH,未知,2025-06-17,20.19,21.22,2025-06-18,0.05101535413571062,178911.0,True,976
首红断低吸1,000777.SZ,未知,2025-06-19,22.59,22.1,2025-06-23,-0.021691013722886163,-79968.0,False,-1
首红断低吸1,002769.SZ,未知,2025-06-20,9.33,9.45,2025-06-23,0.012861736334405061,46391.999999999534,True,-1
