strategy_name,stock_code,stock_name,trade_date,buy_price,sell_price,sell_date,return_rate,profit,is_profitable,sell_tick_steps,date,daily_budget,daily_investment,daily_return,daily_ratio,daily_real_return_rate,daily_budget_return_rate,has_trade,base_budget_return,remaining_budget_return,base_budget_return_rate,remaining_budget_return_rate,base_budget,remaining_budget,trade_count
倒接力31,002100.SZ,未知,2025-04-09,6.78,6.59,2025-04-10,-0.028023598820059,-92663.0,False,2,2025-04-09,448559.0,128630.0,-3420.0,0.2867627224066399,-0.007624415071372997,-0.026587887740029542,True,-3420.0,0,-0.010553077733633003,0.0,324076.0739495312,124482.92605046881,2
倒接力31,603069.SH,未知,2025-04-10,18.41,19.27,2025-04-11,0.046713742531233,150156.0,True,894,2025-04-10,445139.0,128240.0,6650.0,0.2880897876842964,0.014939153837340695,0.05185589519650655,True,6650.0,0,0.02067752742267322,0.0,321605.183447039,123533.81655296101,2
倒接力31,002685.SZ,未知,2025-04-14,6.44,6.56,2025-04-15,0.0186335403726706,62688.0,True,398,2025-04-14,451789.0,129987.0,2525.0,0.2877161683883406,0.005588892159835676,0.019425019425019424,True,2525.0,0,0.007735677144478556,0.0,326409.6927574405,125379.3072425595,2
倒接力31,600590.SH,未知,2025-04-15,10.5,9.98,2025-04-16,-0.0495238095238094,-169728.0,False,24,2025-04-15,454314.0,130065.0,-7311.0,0.2862887782458828,-0.01609239424715065,-0.0562103563602814,True,-7311.0,0,-0.022273746355714545,0.0,328233.9613301869,126080.03866981308,2
倒接力31,001368.SZ,未知,2025-04-18,23.5,22.22,2025-04-21,-0.054468085106383,-177408.0,False,2,2025-04-18,447003.0,127008.0,-7020.0,0.28413232125958887,-0.015704592586626934,-0.055272108843537414,True,-7020.0,0,-0.02173698372796824,0.0,322951.89101915754,124051.10898084246,2
倒接力31,002796.SZ,未知,2025-04-21,12.0,11.68,2025-04-23,-0.0266666666666666,-82112.0,False,88,2025-04-21,439983.0,124800.0,-3328.0,0.2836473227374694,-0.007563928606332517,-0.02666666666666667,True,-3328.0,0,-0.010469357427035123,0.0,317880.0631456209,122102.93685437908,2
倒接力31,001337.SZ,未知,2025-04-22,27.29,26.86,2025-04-23,-0.0157566874312935,-47214.0,False,275,2025-04-22,436655.0,125649.0,-2093.0,0.2877534895970503,-0.004793257835133,-0.0166575141863445,True,-2093.0,0,-0.006634426648862251,0.0,315475.641042611,121179.35895738902,2
倒接力31,600800.SH,未知,2025-04-25,3.35,3.23,2025-04-28,-0.035820895522388,-105696.0,False,5,2025-04-25,434562.0,125242.0,-5732.0,0.2882028341180315,-0.013190292754543656,-0.045767394324587596,True,-5732.0,0,-0.018256900164147112,0.0,313963.48495438986,120598.51504561014,2
倒接力31,002068.SZ,未知,2025-04-28,11.9,11.25,2025-04-29,-0.0546218487394958,-155350.0,False,2,2025-04-28,428830.0,122721.0,-6846.000000000007,0.28617634027470096,-0.015964368164540745,-0.0557850734593102,True,-6846.000000000007,0,-0.022096543358623315,0.0,309822.2146736047,119007.7853263953,2
倒接力31,603286.SH,未知,2025-04-30,32.12,34.64,2025-05-06,0.078455790784558,210924.0,True,385,2025-04-30,421984.0,116226.0,8478.0,0.2754275043603549,0.020090809130203988,0.07294409168344432,True,8478.0,0,0.027808017860765026,0.0,304876.0987730019,117107.90122699807,2
倒接力31,000665.SZ,未知,2025-05-06,5.01,5.04,2025-05-07,0.0059880239520958,17367.0,True,435,2025-05-06,430462.0,124239.0,249.0,0.28861781063136815,0.0005784482718567493,0.0020042015792142566,True,249.0,0,0.000800639723919264,0.0,311001.3062818115,119460.6937181885,2
倒接力31,603086.SH,未知,2025-05-07,9.86,9.51,2025-05-08,-0.035496957403651,-103565.0,False,2,2025-05-07,430711.0,124236.0,-4409.999999999993,0.2884439914467009,-0.010238884077722632,-0.03549695740365106,True,-4409.999999999993,0,-0.01417180709161029,0.0,311181.2044499754,119529.7955500246,2
倒接力31,002977.SZ,未知,2025-05-08,34.95,40.25,2025-05-09,0.1516452074391987,426650.0,True,18,2025-05-08,426301.0,118830.0,18020.000000000007,0.2787467071388526,0.042270602227064934,0.1516452074391989,True,18020.000000000007,0,0.05850743263238502,0.0,307995.056170446,118305.94382955402,2
倒接力31,603338.SH,未知,2025-05-13,51.99,49.44,2025-05-14,-0.0490478938257358,-158865.0,False,2,2025-05-13,444321.0,124752.0,-6096.0,0.28076998386301794,-0.013719810677415652,-0.04886494805694498,True,-6096.0,0,-0.01898981459090769,0.0,321014.1926777295,123306.80732227053,2
倒接力31,000710.SZ,未知,2025-05-14,13.99,13.77,2025-05-15,-0.0157255182273052,-48466.0,False,385,2025-05-14,438225.0,126225.0,-2295.0,0.2880369673113127,-0.0052370357692965944,-0.01818181818181818,True,-2295.0,0,-0.007248666953444217,0.0,316609.9387294276,121615.06127057242,2
倒接力31,002961.SZ,未知,2025-05-15,16.73,16.31,2025-05-16,-0.0251046025104603,-76146.0,False,35,2025-05-15,435930.0,124246.0,-3552.000000000022,0.2850136489803409,-0.008148097171564292,-0.028588445503275935,True,-3552.000000000022,0,-0.011277914702672219,0.0,314951.84115538676,120978.15884461324,2
倒接力31,605188.SH,未知,2025-05-19,13.65,14.5,2025-05-20,0.0622710622710622,184110.0,True,168,2025-05-19,432378.0,123345.0,7155.0,0.28527122101494523,0.016548020482078183,0.05800802626778548,True,7155.0,0,0.02290438608737424,0.0,312385.5829492896,119992.41705071041,2
倒接力31,600530.SH,未知,2025-05-20,8.0,7.98,2025-05-21,-0.0024999999999999,-7854.0,False,134,2025-05-20,439533.0,126321.0,-237.0,0.2873982158336234,-0.0005392086601006068,-0.001876172607879925,True,-237.0,0,-0.0007463275348236117,0.0,317554.94597424037,121978.05402575963,2
倒接力31,002882.SZ,未知,2025-05-21,19.2,23.01,2025-05-22,0.1984375000000001,621792.0000000005,True,56,2025-05-21,439296.0,126687.0,25178.999999999993,0.2883864182692308,0.05731670673076921,0.19874967439437347,True,25178.999999999993,0,0.07933299222345847,0.0,317383.7175973133,121912.28240268672,2
倒接力31,002365.SZ,未知,2025-05-22,17.84,21.95,2025-05-27,0.2303811659192824,865155.0,True,496,2025-05-22,464475.0,132904.0,29526.0,0.28613811292319286,0.0635685451316002,0.22216035634743875,True,29526.0,0,0.08798626411441288,0.0,335575.1070599598,128899.89294004021,2
倒接力31,605033.SH,未知,2025-05-23,19.79,18.52,2025-05-26,-0.0641738251642243,-296418.0,False,24,2025-05-23,494001.0,142560.0,-9216.0,0.28858241177649435,-0.018655832680500646,-0.06464646464646465,True,-9216.0,0,-0.025821843462087508,0.0,356907.1283981424,137093.8716018576,2
倒接力31,002727.SZ,未知,2025-05-26,19.5,18.81,2025-05-27,-0.0353846153846154,-152973.00000000047,False,4,2025-05-26,484785.0,138054.0,-4503.0,0.2847736625514403,-0.009288653733098177,-0.032617671345995046,True,-4503.0,0,-0.012856577713643994,0.0,350248.7287282687,134536.2712717313,2
倒接力31,603960.SH,未知,2025-05-27,22.43,21.17,2025-05-28,-0.0561747659384751,-234233.99999999956,False,2,2025-05-27,480282.0,135450.0,-8429.999999999985,0.2820218121853411,-0.01755218808949739,-0.062236987818383056,True,-8429.999999999985,0,-0.024294270913881054,0.0,346995.38956665393,133286.61043334607,2
倒接力31,003042.SZ,未知,2025-05-28,18.2,16.99,2025-05-29,-0.0664835164835165,-261723.00000000047,False,25,2025-05-28,471852.0,134463.0,-10436.000000000015,0.28496859184659595,-0.02211710451582279,-0.0776124286978575,True,-10436.000000000015,0,-0.030612646480214823,0.0,340904.8612227916,130947.1387772084,2
倒接力31,603011.SH,未知,2025-05-29,17.94,19.4,2025-05-30,0.0813823857302116,299007.99999999907,True,265,2025-05-29,461416.0,131508.0,10111.999999999993,0.2850096225531841,0.021915148152643154,0.07689266052255371,True,10111.999999999993,0,0.0303331153713382,0.0,333365.0327771751,128050.96722282493,2
倒接力31,002609.SZ,未知,2025-05-30,11.47,10.75,2025-06-03,-0.0627724498692241,-249480.0,False,8,2025-05-30,471528.0,134815.0,-7965.0,0.2859109109109109,-0.016891891891891893,-0.05908096280087528,True,-7965.0,0,-0.023380344135849763,0.0,340670.7768593976,130857.22314060241,2
倒接力31,603518.SH,未知,2025-06-04,11.85,13.43,2025-06-05,0.1333333333333333,496594.0,True,572,2025-06-04,463563.0,133224.0,17192.0,0.28739135780897096,0.03708665273112824,0.12904581757040773,True,17192.0,0,0.05133224325907142,0.0,334916.2029259619,128646.79707403813,2
倒接力31,603238.SH,未知,2025-06-05,18.81,17.88,2025-06-06,-0.0494417862838915,-208692.0,False,2,2025-06-05,480755.0,136728.0,-7992.0,0.2844026583186862,-0.016623852066021155,-0.05845181674565561,True,-7992.0,0,-0.023009345824288274,0.0,347337.12383790506,133417.87616209494,2
