strategy_name,stock_code,stock_name,trade_date,buy_price,sell_price,sell_date,return_rate,profit,is_profitable,sell_tick_steps,date,daily_budget,daily_investment,daily_return,daily_ratio,daily_real_return_rate,daily_budget_return_rate,has_trade,base_budget_return,remaining_budget_return,base_budget_return_rate,remaining_budget_return_rate,base_budget,remaining_budget,trade_count
倒接力31,003021.SZ,未知,2025-01-09,78.47,94.77,2025-01-10,0.2077226965719383,340670.0,True,1690,2025-01-09,337134.0,78934.0,15835.999999999998,0.23413242212295407,0.04697242046189348,0.20062330554640584,True,15835.999999999998,0.0,0.1425114496837157,0.0,111120.8961465608,226013.1038534392,5
倒接力31,002050.SZ,未知,2025-01-10,25.8,26.56,2025-01-13,0.0294573643410851,58444.0,True,76,2025-01-10,352970.0,106449.0,2447.0,0.30158087089554353,0.006932600504292149,0.022987533936439045,True,2447.0,0.0,0.021033085760318232,0.0,116340.51360245947,236629.48639754055,5
倒接力31,002265.SZ,未知,2025-01-13,31.65,32.98,2025-01-16,0.0420221169036334,85785.0,True,46,2025-01-13,355417.0,168543.0,12846.999999999982,0.4742119819817285,0.03614627325085739,0.0762238716529312,True,5886.999999999982,6960.0,0.05025307682283851,0.029210566303093204,117147.05590572947,238269.94409427053,6
倒接力31,002878.SZ,未知,2025-01-15,17.55,17.1,2025-01-17,-0.0256410256410256,-54584.99999999977,False,2,2025-01-15,368264.0,115104.0,-2243.999999999982,0.31255838203028263,-0.006093454695544451,-0.01949541284403654,True,-2243.999999999982,0.0,-0.01848716871953758,0.0,121381.48539903146,246882.51460096854,5
倒接力31,603270.SH,未知,2025-01-16,21.57,21.1,2025-01-17,-0.0217895224849327,-45213.99999999977,False,277,2025-01-16,366020.0,118514.0,-2464.0,0.32379104966941696,-0.006731872575269111,-0.02079079264896974,True,-2464.0,0.0,-0.020424089505158467,0.0,120641.85281687455,245378.14718312543,5
倒接力31,600183.SH,未知,2025-01-20,28.44,28.86,2025-01-21,0.0147679324894514,29946.0,True,113,2025-01-20,363556.0,114920.0,520.0,0.31609985806863317,0.0014303160998580687,0.004524886877828055,True,520.0,0.0,0.004339491533379561,0.0,119829.70723646699,243726.292763533,5
倒接力31,002718.SZ,未知,2025-01-23,15.99,16.03,2025-01-24,0.0025015634771732,5152.000000000233,True,46,2025-01-23,364076.0,45080.00000000001,-196.00000000000728,0.12382030125578178,-0.0005383491358947232,-0.004347826086956682,True,-196.00000000000728,0.0,-0.0016333183395259086,0.0,120001.10159596859,244074.8984040314,2
倒接力31,600184.SH,未知,2025-01-24,11.17,10.68,2025-01-27,-0.0438675022381378,-90601.0,False,2,2025-01-24,363880.0,116319.0,-4179.0,0.3196630757392547,-0.011484555347916895,-0.03592706264668713,True,-4179.0,0.0,-0.03484343824547574,0.0,119936.49910661798,243943.500893382,5
倒接力31,001282.SZ,未知,2025-01-27,27.35,26.34,2025-02-05,-0.0369287020109689,-72922.0,False,88,2025-01-27,359701.0,170580.0,630.0,0.4742272053733518,0.0017514546804151226,0.003693281744635948,True,-1302.0,1932.0,-0.010981866431852482,0.008011879535403317,118559.08174439265,241141.91825560736,5
倒接力31,002394.SZ,未知,2025-02-05,8.24,7.99,2025-02-07,-0.0303398058252427,-57700.0,False,29,2025-02-05,360331.0,117330.0,-3072.9999999999964,0.3256172796678609,-0.008528269840785268,-0.02619108497400491,True,-3072.9999999999964,0.0,-0.02587424889654552,0.0,118766.73260301958,241564.26739698043,5
倒接力31,000503.SZ,未知,2025-02-06,10.86,11.67,2025-02-10,0.074585635359116,137538.0,True,394,2025-02-06,357258.0,114177.0,10692.0,0.3195925633575735,0.029927951228523923,0.09364407893008224,True,10692.0,0.0,0.09079957289193857,0.0,117753.85785927264,239504.14214072737,5
倒接力31,002906.SZ,未知,2025-02-07,35.1,34.97,2025-02-11,-0.0037037037037037,-7332.0,False,144,2025-02-07,367950.0,110094.0,1810.0000000000036,0.2992091316754994,0.0049191466231825074,0.016440496303159153,True,1810.0000000000036,0.0,0.014924389877783932,0.0,121277.98957425548,246672.01042574452,5
倒接力31,603612.SH,未知,2025-02-10,16.38,16.5,2025-02-11,0.0073260073260073,14460.000000000233,True,210,2025-02-10,369760.0,116284.0,-783.9999999999964,0.31448507139766335,-0.0021202942449156112,-0.0067421141343606715,True,-783.9999999999964,0.0,-0.006432843009316421,0.0,121874.57378713605,247885.42621286394,5
倒接力31,600979.SH,未知,2025-02-11,5.16,5.41,2025-02-12,0.0484496124031007,96350.0,True,1056,2025-02-11,368976.0,119746.0,2520.0,0.3245360131824292,0.006829712501626122,0.021044544285404105,True,2520.0,0.0,0.020720929855410318,0.0,121616.16382973363,247359.83617026638,5
倒接力31,600186.SH,未知,2025-02-12,7.47,7.2,2025-02-13,-0.0361445783132529,-75357.0,False,385,2025-02-12,371496.0,119747.0,-2387.0,0.3223372526218317,-0.0064253720093890646,-0.019933693537207614,True,-2387.0,0.0,-0.019494185541451083,0.0,122446.76726424138,249049.23273575862,5
倒接力31,600845.SH,未知,2025-02-13,33.8,36.32,2025-02-17,0.0745562130177515,149688.00000000023,True,874,2025-02-13,369109.0,116133.0,10987.0,0.3146306375623461,0.029766275002776958,0.09460704537039429,True,10987.0,0.0,0.09030905711514817,0.0,121660.00123322154,247448.99876677844,4
