股票代码,股票名称,交易日期,买入价格,卖出价格,收益率,收益金额,是否盈利
002281.SZ,,2025-06-25,48.12,48.45,0.69%,20625.00,是
603123.SH,,2025-06-26,14.60,14.98,2.60%,78812.00,是
002579.SZ,,2025-06-30,14.50,14.75,1.72%,53575.00,是
600684.SH,,2025-07-01,4.47,4.39,-1.79%,-56584.00,否
603124.SH,,2025-07-02,53.46,54.11,1.22%,37700.00,是
600876.SH,,2025-07-03,12.06,12.40,2.82%,88604.00,是
002938.SZ,,2025-07-04,35.81,39.96,11.59%,374330.00,是
002020.SZ,,2025-07-07,15.60,15.34,-1.67%,-60086.00,否
002366.SZ,,2025-07-08,9.91,9.92,0.10%,3577.00,是
002865.SZ,,2025-07-09,42.80,44.98,5.09%,180722.00,是
002623.SZ,,2025-07-14,26.58,27.16,2.18%,81374.00,是
603617.SH,,2025-07-17,8.05,9.06,12.55%,478134.00,是
002246.SZ,,2025-07-18,16.70,21.53,28.92%,1240344.00,是
600629.SH,,2025-07-21,10.34,12.01,16.15%,893116.00,是
600585.SH,,2025-07-22,25.74,27.55,7.03%,451595.00,是
601699.SH,,2025-07-23,13.55,13.06,-3.62%,-248577.00,否
603716.SH,,2025-07-24,28.60,33.44,16.92%,1120944.00,是
600259.SH,,2025-07-25,63.54,66.40,4.50%,348634.00,是
600895.SH,,2025-07-28,30.58,32.20,5.30%,428814.00,是
002174.SZ,,2025-07-29,15.16,15.33,1.12%,95574.00,是
600581.SH,,2025-07-30,4.12,4.47,8.50%,732270.00,是
601869.SH,,2025-07-31,50.00,50.60,1.20%,112200.00,是
002424.SZ,,2025-08-01,6.12,6.70,9.48%,896912.00,是
603286.SH,,2025-08-04,31.40,33.88,7.90%,818152.00,是
002558.SZ,,2025-08-05,27.05,27.71,2.44%,272712.00,是
600610.SH,,2025-08-06,13.74,13.31,-3.13%,-358362.00,否
600150.SH,,2025-08-07,39.88,38.44,-3.61%,-400464.00,否
600651.SH,,2025-08-08,6.34,6.74,6.31%,674640.00,是
601089.SH,,2025-08-11,30.11,30.50,1.30%,147225.00,是
603757.SH,,2025-08-12,34.10,42.85,25.66%,2954000.00,是
000006.SZ,,2025-08-13,7.59,7.36,-3.03%,-438449.00,否
603031.SH,,2025-08-14,32.67,36.14,10.62%,1490018.00,是
600410.SH,,2025-08-15,18.66,20.68,10.83%,1680034.00,是
002873.SZ,,2025-08-18,12.73,15.19,19.32%,3323952.00,是
002871.SZ,,2025-08-19,16.45,15.80,-3.95%,-811005.00,否
002382.SZ,,2025-08-20,6.77,6.56,-3.10%,-611499.00,否
600864.SH,,2025-08-21,8.58,7.78,-9.32%,-1781040.00,否
002369.SZ,,2025-08-22,11.12,10.93,-1.71%,-295944.00,否
601208.SH,,2025-08-25,19.57,18.82,-3.83%,-652425.00,否

统计摘要
总交易次数,179
盈利交易次数,93
亏损交易次数,86
胜率,51.96%
总收益,16172906.00
总收益率,8086.45%
最大回撤,31.09%
夏普比率,5.2799
最大盈利股票,002873.SZ()
最大盈利金额,3323952.00
最大亏损股票,600864.SH()
最大亏损金额,-1781040.00
最终资金,16372906.00
适应度得分,4.565472
