股票代码,股票名称,交易日期,买入价格,卖出价格,收益率,收益金额,是否盈利
603906.SH,,2025-06-11,15.38,14.12,-8.19%,-182196.00,否
002734.SZ,,2025-06-12,22.70,19.80,-12.78%,-260710.00,否
002366.SZ,,2025-06-13,7.50,7.67,2.27%,40375.00,是
603688.SH,,2025-06-17,35.78,34.25,-4.28%,-77877.00,否
603256.SH,,2025-06-23,13.85,13.80,-0.36%,-6295.00,否
600201.SH,,2025-06-24,7.95,8.13,2.26%,39348.00,是
603119.SH,,2025-06-25,43.21,46.38,7.34%,130287.00,是
603123.SH,,2025-06-26,14.60,15.50,6.16%,117540.00,是
002579.SZ,,2025-06-30,14.50,14.73,1.59%,32108.00,是
600684.SH,,2025-07-01,4.47,4.30,-3.80%,-78234.00,否
603124.SH,,2025-07-02,53.46,54.11,1.22%,24050.00,是
600438.SH,,2025-07-03,18.07,18.34,1.49%,29916.00,是
002938.SZ,,2025-07-04,35.81,39.24,9.58%,194481.00,是
002201.SZ,,2025-07-07,7.90,8.50,7.59%,169140.00,是
002366.SZ,,2025-07-08,9.91,9.56,-3.53%,-84630.00,否
002865.SZ,,2025-07-09,42.80,44.11,3.06%,70740.00,是
002623.SZ,,2025-07-14,26.58,27.68,4.14%,98560.00,是
603617.SH,,2025-07-17,8.05,8.94,11.06%,274298.00,是
002246.SZ,,2025-07-18,16.70,21.53,28.92%,796950.00,是
003007.SZ,,2025-07-21,34.37,32.95,-4.13%,-146686.00,否
600668.SH,,2025-07-22,13.40,12.60,-5.97%,-203280.00,否
601699.SH,,2025-07-23,13.55,14.18,4.65%,148869.00,是
603716.SH,,2025-07-24,28.60,30.62,7.06%,236542.00,是
600259.SH,,2025-07-25,63.54,63.85,0.49%,17484.00,是
600895.SH,,2025-07-28,30.58,31.65,3.50%,126153.00,是
002174.SZ,,2025-07-29,15.16,15.28,0.79%,29532.00,是
600581.SH,,2025-07-30,4.12,4.38,6.31%,237354.00,是
601869.SH,,2025-07-31,50.00,51.51,3.02%,120649.00,是
002424.SZ,,2025-08-01,6.12,6.65,8.66%,356690.00,是
603286.SH,,2025-08-04,31.40,35.56,13.25%,592800.00,是
002558.SZ,,2025-08-05,27.05,27.80,2.77%,140475.00,是
603400.SH,,2025-08-06,60.60,63.94,5.51%,286906.00,是
600967.SH,,2025-08-07,24.29,23.30,-4.08%,-223938.00,否
600651.SH,,2025-08-08,6.34,6.63,4.57%,241135.00,是
601089.SH,,2025-08-11,30.11,31.11,3.32%,183100.00,是
002418.SZ,,2025-08-12,4.25,4.23,-0.47%,-26806.00,否
000006.SZ,,2025-08-13,7.59,7.14,-5.93%,-336150.00,否
601020.SH,,2025-08-14,22.61,22.53,-0.35%,-18864.00,否
600410.SH,,2025-08-15,18.66,20.68,10.83%,575296.00,是
600113.SH,,2025-08-18,52.16,51.19,-1.86%,-109513.00,否
002871.SZ,,2025-08-19,16.45,17.00,3.34%,193215.00,是
002382.SZ,,2025-08-20,6.77,6.49,-4.14%,-247044.00,否
002476.SZ,,2025-08-21,5.75,5.63,-2.09%,-119508.00,否
002369.SZ,,2025-08-22,11.12,11.41,2.61%,146218.00,是
601788.SH,,2025-08-25,21.05,20.29,-3.61%,-207708.00,否

统计摘要
总交易次数,179
盈利交易次数,103
亏损交易次数,76
胜率,57.54%
总收益,5345673.00
总收益率,2672.84%
最大回撤,38.37%
夏普比率,4.3276
最大盈利股票,002246.SZ()
最大盈利金额,796950.00
最大亏损股票,000006.SZ()
最大亏损金额,-336150.00
最终资金,5545673.00
适应度得分,1.427731
