strategy_name,stock_code,stock_name,trade_date,buy_price,sell_price,sell_date,return_rate,profit,is_profitable,sell_tick_steps
倒接力31,002335.SZ,未知,2025-09-08,56.46,53.38,2025-09-09,-0.0545518951470067,-2659272.0,False,120
倒接力31,603822.SH,未知,2025-09-09,88.5,85.78,2025-09-10,-0.030734463276836144,-1416576.0,False,2
倒接力31,000892.SZ,未知,2025-09-10,6.81,6.16,2025-09-11,-0.09544787077826718,-4264325.0,False,5
倒接力31,002384.SZ,未知,2025-09-11,75.9,78.7,2025-09-12,0.03689064558629772,1490720.0,True,46
倒接力31,603222.SH,未知,2025-09-12,14.13,13.19,2025-09-15,-0.0665251238499647,-2787570.0,False,19
倒接力31,603127.SH,未知,2025-09-15,38.71,41.19,2025-09-16,0.06406613278222673,2505792.0,True,46
倒接力31,002759.SZ,未知,2025-09-17,19.97,17.6,2025-09-18,-0.11867801702553818,-4939554.0,False,2
倒接力31,600143.SH,未知,2025-09-18,22.64,22.04,2025-09-19,-0.02650176678445236,-972120.0,False,385
倒接力31,603686.SH,未知,2025-09-19,22.02,25.43,2025-09-22,0.15485921889191645,5529997.0,True,18
倒接力31,002222.SZ,未知,2025-09-22,53.8,52.21,2025-09-23,-0.02955390334572484,-1218735.0,False,2
倒接力31,002006.SZ,未知,2025-09-23,22.61,22.0,2025-09-24,-0.026979212737726646,-1079700.0,False,261
